device_id,representation_category,in_a_legacy,in_a_normative_fairness,in_a_representation_demographic,normative_terms_hit,has_bias,has_demographic_window,first_representation_snippet
K221564,demographic_fairness,1,0,1,,0,1,Stroke/Head Stroke/Head Application/Anatomic al Region Standard of Care ASPECTS Scoring ASPECTS Scoring Representation Design: Modalities for CT CT image processing and visualization Technical ML/AI/Random Forest ML/AI/Random F
K222179,demographic_fairness,1,0,1,,0,1,"ng data obtained via an initial study protocol and additional performance testing data obtained via a study protocol addendum. Each of the two cohorts included representation across subgroups for patient demographics (gender, age, ethnicity, race), technical parameters (imaging equipment make, model), imaging parameters (positioning"
K222268,demographic_fairness,1,0,1,,0,1,"s conducted on a dataset of 589 CXR cases (positive n=272 and negative n=317), collected consecutively from four US hospital network sites. The cohort included representation across subgroups for patient demographics (gender, age, ethnicity, race), technical parameters (imaging equipment make, model), imaging parameters (positioning"
K223133,demographic_fairness,1,0,1,,0,1,"smokers. NLST consists of a set of patients that did not have lung cancer at study initiation, with geographic and demographic representation across the country. The two independent sites were a Level II trauma center at a rural group practice in Montana and a Level I trauma"
K223240,demographic_fairness,1,0,1,,0,1,">1.5mm & ≤5.0mm (positive n=1,257 and negative n=621), collected consecutively from five US hospital network sites. The performance testing datasets included representation across subgroups for patient demographics (gender [female: 44.9-52.2%, male: 47.8-55.1%], age [mean: 66.5-68.0 years, min: 22, max: 99-105], ethnicity [Hispani"
K223287,demographic_fairness,1,0,1,,0,1,"nteers and patients were recruited from all genders, ages between 18-70. • Volunteers and patients of all ethnicities were included, with 33-50% minority representation. • Data was collected from sites in the US and Canada Information about clinical subgroups and confounders present in the dataset:"
K223396,unclear_manual_review,1,0,0,,1,1,". Final device validation included standalone performance validation. This performance validation testing demonstrated the Rapid RV/LV device provides accurate representation of key processing parameters under a range of clinically relevant perturbations associated with the intended use of the software. Software performance, validat"
K223426,unclear_manual_review,1,0,0,,0,1,"nential relaxation times, called T1 and T2. A RF emission or echo that can be measured accompanies these relaxation events. The emissions are used to develop a representation of the relaxation events in a three dimensional matrix. Spatial localization is encoded into the echoes by varying the RF excitation, applying appropriate magn"
K223491,demographic_fairness,1,0,1,,0,1,s task by flagging images with a suspicious finding and providing a localization overlay of the suspected pneumothorax as well as a graphical representation of the algorithm’s confidence in the resultant finding. These outputs can be displayed wherever the reviewing physician normally
K223501,demographic_fairness,1,0,1,,0,1,"round landmark tissue. The finding class was used during pre-training (cancerous, benign or normal) with significant representation in each class. The correct mapping percentage and TREs were from comparisons between ground truths and ViewFinder’s predictio"
K230074,unclear_manual_review,1,0,0,,0,1,". Final device validation included standalone performance validation. This performance validation testing demonstrated the Rapid ANRTN device provides accurate representation of key processing parameters under a range of clinically relevant perturbations associated with the intended use of the software. Software performance, validat"
K230179,unclear_manual_review,1,0,0,,0,1,"able in Fusion imaging / UroFusion environment. 6. HyperDoppler, based on Color Doppler Flow Mapping (CDFM) technology, provides different map representation to highlight the intracardiac flow properties 7. Transducer Element Check 8. New transducers 2CWL, 5CWL, CX 1-8, LX 3-15, LMX 4-20, PX 1-5 and"
K230223,demographic_fairness,1,0,1,,0,1,"outine care. The device automatically analyzes non-gated, non-contrast chest computed tomography (CT) images collected during routine care and outputs a visual representation of estimated coronary artery calcium segmentation (intended for informational purposes only) and both exact and four-category quantitative estimates of the pat"
K230552,demographic_fairness,1,0,1,,1,1,"cases, 28 cases, and another set of 28 cases from multiple institutions were respectively used for the algorithm training, validation and testing, with a good representation of the intended use population in terms of gender and age. Furthermore, the test database was constructed with cases coming from different institutions than th"
K230823,technical_ml,1,0,0,,0,1,that uses heart sounds to detect the presence of pathological heart sounds. The user can utilize the heart sound analysis results and the acoustic and visual representation of the heart sound recordings as decision support data in their decision-making process regarding the presence and type of a heart murmur. K230823 5.2 Inten
K231068,unclear_manual_review,1,0,0,,1,1,Analytical Methods The analytical methods used in this validation have been described in 7.2.3.1 and 7.2.3.2. The figure 1 below shows a hierarchical representation of autoSCORE recording- and marker outputs and the conditions under which these outputs are presented in the Natus® NeuroWorks® user interface. Pag
K231094,demographic_fairness,1,0,1,,0,1,"vely from five US hospital network sites. These sites included both community hospitals and academic medical centers. The performance testing dataset included representation across subgroups for patient demographics: � slice thickness ������: gender [Female: 56.0 %, Male: 44.0%], age [mean: 61.2 years], ethnicity [Hisp"
K231384,demographic_fairness,1,0,1,,0,1,"cases for slice thickness >1.5mm & ≤5.0mm (positive n=594 and negative n=168), collected consecutively from five US hospital network sites. The cohort included representation across subgroups for patient demographics (gender, age, ethnicity, race), technical parameters (imaging equipment make, model) and co-existing findings or abno"
K231459,demographic_fairness,1,0,1,,1,1,"US Contact (US Agent) Michael van der Woude Director & GM Emergo Global Representation LLC 2500 Bee Cave Road, Building 1, Suite 300 Austin, TX 78746"
K231631,technical_ml,1,0,0,,0,1,"ary Artery HealthCCSng device care and outputs a visual Calcification (CAC) of analyzes existing non- representation of plaques, which present a risk cardiac-gated CT studies estimated coronary artery for coronary artery disease,"
K231767,demographic_fairness,1,0,1,,0,1,"cases for slice thickness >1.5mm & ≤5.0mm (positive n=99 and negative n=194), collected consecutively from five US hospital network sites. The cohort included representation across subgroups for patient demographics (gender, age, ethnicity, race), technical parameters (imaging equipment make, model), co-existing findings or abnorma"
K232148,technical_ml,1,0,0,,0,1,"he dental handpiece and the patient anatomy, captured by the tracking hardware, is combined with patient-specific calibration data. This enables a 3D graphical representation of the handpiece to be animated and depicted in precise location and orientation relative to a 3D depiction of the implant target, along with depictions of the"
K232156,unclear_manual_review,1,0,0,,0,1,standalone software and as integrated within the Rapid System. This performance validation testing demonstrated that the Rapid ASPECTS module provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K232250,demographic_fairness,1,0,1,,0,1,". Comparison of Technology Characteristics with the Predicate Device The Indications for Use Statement has been updated but is unchanged with respect to its representation of the product’s intended use. New indications for use (i.e., associated medical conditions/diseases/patient populations) were not proposed. The modified produ"
K232479,demographic_fairness,1,1,1,fairness,1,1,"seudo-anonymized data for training and this data does not include any information on ethnicity, TheraPanacea is not able to assess the data distribution and representation in terms of ethnicity. In addition, automatic delineation of the device demonstrated equivalent performances between non-US and US population. ● On t"
K232923,demographic_fairness,1,0,1,,0,1,Page 3 of 5 The AI models operate on image resolutions that are suitable for representation of the organs they were trained for. Patient images are re sampled before inference (running the detection network).
K233080,unclear_manual_review,1,0,0,,1,1,"of 250 anonymized CT scans with at least 4 cm of liver from the superior aspect of the liver, from 4 healthcare institutions. The sample included sufficient representation from across the disease spectrum for the key measurement parameter provided by the device, namely mean liver attenuation (measured in Hounsfield Units). G"
K233196,dataset_population,1,0,0,,0,1,"rationale for employing consensus among three radiologists, resolved through discussion and mutual agreement in cases of ties, ensures a reliable and unbiased representation of the prostate, crucial for the accurate clinical performance evaluation of our device. Clinical Testing Dataset Distribution Demographi"
K233342,demographic_fairness,1,0,1,,0,1,aracterization of brain tissues’ abnormalities using CT image data. The Standalone Performance Testing demonstrated that the proposed device provides accurate representation of key processing parameters under a range of clinically relevant parameters. The Standalone Performance Testing dataset included 200 clinical anonymized NCCT
K233512,unclear_manual_review,1,0,0,,0,1,and software verification and validation testing of the Rapid system. This performance validation testing demonstrated that the Rapid system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Software perfo
K233582,unclear_manual_review,1,0,0,,1,1,"perfusion imaging performance of conventional CT and C-arm CT scanners. The performance validation testing demonstrated that the Rapid system provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. Additionally,"
K233687,unclear_manual_review,1,0,0,,0,1,"nential relaxation times, called T1 and T2. A RF emission or echo that can be measured accompanies these relaxation events. The emissions are used to develop a representation of the relaxation events in a three dimensional matrix. Spatial localization is encoded into the echoes by varying the RF excitation, applying appropriate magn"
K233977,demographic_fairness,1,0,1,,0,1,"ges from 21 patients. • Volunteers and patients were recruited from all genders, ages between 18-70 and all ethnicities, with from 33-50% minority representation. • Evaluation data was collected from volunteers and patients with non-alcoholic fatty liver disease and non-alcoholic steatohepatitis. All patien"
K240036,unclear_manual_review,1,0,0,,1,1,"the PIUR tUS Infinity system. The results of the usability and performance validation testing demonstrated that the PIUR tUS Infinity system provides accurate representation of key processing parameters under a range of clinically relevant parameters associated with the intended use of the software. Software performance, validation"
K240172,technical_ml,1,0,0,,0,1,ons of various implant models are available in the planning software. Preview Shoulder allows the user to digitally perform the surgical planning by showing a representation of the patient's shoulder anatomy as a 3D model and allows the surgeon to place the implant in the patient's anatomy. The software allows the surgeon to gen
K240369,demographic_fairness,1,0,1,,0,1,"lected and outputs the summary report containing | care and outputs a visual | burden for the whole heart segmentation (intended for | Agatston score, arterial representation of estimated | and at individual coronary informational purposes age, and calcified lesion coronary artery calcium | artery level. Annotated only) and quantifi"
K240398,demographic_fairness,1,0,1,,0,1,"atment planning system are patient and beam modeling, and algorithms for dose calculation and plan parameter optimization. The patient model is a computerized representation of the patient tissue and densities, identifying the target regions and particular organs at risk. The model is based on medical images of the patient and must"
K240582,unclear_manual_review,1,0,0,,1,1,connection representation radiological
K240680,unclear_manual_review,1,0,0,,0,1,similar acquisition. Brain Calculation of deviation Calculation of deviation map Unknown Morphometry: map (representation of (representation of brain Deviation Map brain status in relation to status in relation to reference data) and
K240712,demographic_fairness,1,0,1,,1,1,"2*-GRE images (for findings suggestive of ARIA-H). Patient identification and scan dates are clearly printed in the headers. The ARIA-E page includes a visual representation of brain slices from the FLAIR images at two time points, with the ARIA-E segmentation overlaid in color on the image of the second time point. If ARIA-E is de"
K240845,technical_ml,1,0,0,,1,1,"iographs, compared to 115,000 in the predicate device. This expansion was undertaken to enhance the algorithm’s robustness by including a more comprehensive representation of pediatric cases alongside adult cases. The algorithm was retrained using the expanded dataset, which involved adjusting the model weights to optimize perf"
K240926,technical_ml,1,0,0,,1,1,"ce are mandatory. Both devices have the same workflows, use requirements (e.g., internet connection, output validation), and planning features (e.g., model representation, digital overlap of prosthetic material, possible 2D and 3D environments). Both devices generate a final report of the planning which consists of the selected"
K240993,unclear_manual_review,1,0,0,,1,1,"uses a wavelet spectrogram, which can show higher frequency components with increased temporal resolution. Both devices are intended to show a time-frequency representation of the EEG to the user and are compared in a clinical evaluation. There is no significant difference between the spectrograms of the subject device and the se"
K241380,demographic_fairness,1,0,1,,1,1,"nal age, gestational age, territory, BMI, scanner manufacturer, heart abnormality. It also comprised races and ethnicities and various clinical sites, ensuring representation across the intended use population. Image digital quality (bad, average, good) and image type (still image from entire examination, cardiac clip frame, full e"
K241429,unclear_manual_review,1,0,0,,0,1,"nential relaxation times, called T1 and T2. A RF emission or echo that can be measured accompanies these relaxation events. The emissions are used to develop a representation of the relaxation events in a three dimensional matrix. Spatial localization is encoded into the echoes by varying the RF excitation, applying appropriate magn"
K241439,dataset_population,1,0,0,,0,1,"ent country. Each scan sourced from different subjects and was obtained through a general inclusion/exclusion criterion, ensuring comprehensive subgroup representation. The dataset for pneumothorax included 716 scans (242 scans with pneumothorax and 474 scans without pneumothorax). It is sourced from various regions of"
K241440,unclear_manual_review,1,0,0,,1,1,indicated besides the the side scale bar. more precise arrow on the side scale 2) A corresponding representation of bar. Estimated Coronary coronary calcium 2) A corresponding Calciu
K241561,demographic_fairness,1,0,1,,1,1,"more centers, and thus to more the device before and woman. Prevents obsolescence of MammoScreen BD. after implementation Better representation of breast tissue diversity leading to higher of changes overall performances and a better generalization on unseen data. Monitori"
K241676,unclear_manual_review,1,0,0,,1,1,K241676 e. Detection limits Two clinical sample pools were created to give adequate representation of TriVerity scores across the score range. The clinical pools were created by combining individual clinical s
K241719,demographic_fairness,1,0,1,,0,1,"are’s performance in identifying non-contrast (NCCT) head CT scans containing intracranial hemorrhage (ICH). Primarily 376 studies were used with recognizable representation of positive and negative ICH cases (35.90 % ICH positive studies and 64.09 % normal studies) to calculate Sensitivity (Se), Specificity (Sp), Accuracy, Area"
K242123,demographic_fairness,1,0,1,,0,1,onal and AI/ML Implementation Image Overlay Vessel Density with visual No Vessel Density with visual representation (3D-colored representation (2D-colored overlay)
K242168,dataset_population,1,0,0,,0,1,"plit into train / validation and test datasets ensuring that there is uniqueness in the patient representation in each set – i.e. a single patient is present only in one of the three groups. Also, it wa"
K242188,technical_ml,1,0,0,,0,1,AC is the Agatston score. care and outputs a visual ClearRead CT CAC locates representation of estimated calcified coronary lesions and coronary artery calcium
K242600,unclear_manual_review,1,0,0,,0,1,"te Clinical Outcomes The predicate, Second Opinion, underwent a similar standalone study wherein bounding boxes were used for both detection and ground truth representation of periapical radiolucencies. This standalone testing demonstrated that Second Opinion performed comparably to unaided readers in detecting periapical radioluc"
K242683,demographic_fairness,1,0,1,,0,1,"5T, 3T) and vendors (Siemens, GE Medical Systems, Philips Medical Systems). T2w and DWI sequences of these cases were used for training. The dataset contained representation of different Gleason score subgroups, was ethnically diverse, and the age ranged from 43 to 86 years. The fine-tuning of the model aimed to optimize the sensit"
K243038,unclear_manual_review,1,0,0,,0,1,"5 of 6 contrast-enhanced series for the testing of wall segmentation. Each validation test included representation of multiple scanner manufacturers (i.e., Canon, GE, Philips, and Siemens) and disease severity based on calcium score and maximum stenosis (CAD-RADS classific"
K243229,demographic_fairness,1,0,1,,1,1,(CT) images collected during clinical during routine care and outputs a visual care and outputs the region of interest representation of estimated coronary (intended for informational purposes artery calcium segmentation (intended only) and quantifi
K243239,dataset_population,1,0,0,,0,1,tively in the order they were received. The dataset was then enriched with abnormal cases (to have at least 30% abnormal cases per center) to ensure sufficient representation of clinically relevant conditions in line with FDA guidelines. 465 lung scans from 359 unique patients were retrospectively collected from 6 imaging centers i
K243292,technical_ml,1,0,0,,0,1,Shoulder side Surgery date Bone representation 3D and 2D representation of the humerus and the 3D and 2D representation of the humerus scapula
K243294,unclear_manual_review,1,0,0,,1,1,was conducted to comply with special controls for this device type. Standalone performance testing demonstrated that the proposed device provides accurate representation of key processing parameters under a range of clinically relevant parameters and perturbations associated with the intended use of the software. The stand-alon
K243378,unclear_manual_review,1,0,0,,1,1,"ce. Final device validation included standalone performance validation. This performance validation testing demonstrated the Rapid MLS device provides accurate representation of key processing parameters under a range of clinically relevant conditions associated with the intended use of the software. Software performance, validation"
K243481,technical_ml,1,0,0,,0,1,replacement implant(s) available for use with the system. The surgeon can select an implant model from this library. The planner/surgeon can manipulate the 3D representation of the implant in relation to the bone model to optimally place the implant. The surgeon reviews and approves the case plan using either TPLAN or the TCM web-b
K243633,demographic_fairness,1,0,1,,0,1,tumors. The pool contained homogenous distribution by gender (female/male) and a diversity of ethnicity groups being White/Black/Latino/Asian with the highest representation. Most of data were obtained in patients who underwent stereotactic radiosurgery using a diverse acquisition of MR protocols (mainly containing 1.5T/3T MRI scan
K243685,demographic_fairness,1,0,1,,0,1,"of the device The device will be accessible to more centers, and thus to more woman. Prevents before and after obsolescence of MammoScreen BD. Better representation of breast tissue diversity implementation leading to higher overall performances and a better generalization on unseen data. of changes Monitoring,"
K243743,unclear_manual_review,1,0,0,,1,1,"tial effort required for expert review, the number of EEGs in this study (N=80) was lower than for the validation of the shorter EEGs (N=100). To ensure a good representation and sufficient statistical power of all abnormality types, the targeted abnormal-to-normal EEG distribution was adjusted to 80% and 20%, respectively, with at"
K250042,technical_ml,1,0,0,,1,1,"ce are mandatory. Both devices have the same workflows, use requirements (e.g., internet connection, output validation), and planning features (e.g., model representation, digital overlap of prosthetic material, possible 2D and 3D environments). Both devices generate a final report of the planning which consists of the selected"
K250064,demographic_fairness,1,1,1,representativeness,0,1,"dical Systems, Philips and Canon Medical Systems/Toshiba). In addition, the validation datasets from the US included demographic diversity with balanced ethnic representation, particularly including Caucasian and African American populations. This demographic and technological diversity in the dataset helped to ensure Dose+ models"
K250221,demographic_fairness,1,0,1,,0,1,Stroke/Head Region Standard of Care ASPECT Scoring ASPECT Scoring Representation Alteration of original image data No No base Alters Standard of Care In parallel to
K250264,demographic_fairness,1,0,1,,1,1,"ctively collected from routine dental examinations. The images were sampled to be representative of a range of x-ray sensor types. Within the set, the relative representation of sensor type was: Vatech HD 29%, iSensor H2 11%, Schick 33: 45%, Dexis Platinum 15%. The patients’ ages ranged from 18 to 87 with a mean age of 42. Approxima"
K250290,technical_ml,1,0,0,,0,1,"ts (such as internet connectivity and user verification and approval of outputs), and offer comparable planning functionalities, including model representation, digital overlap of prosthetic material, and support for both 2D and 3D environments. Additionally, both devices generate a final planning rep"
K250440,demographic_fairness,1,0,1,,0,1,e pool contained homogenous distribution by gender (female/male) and a diversity of ethnicity groups being White/Black/Latino/Asian with the highest representation. Most of data were obtained in patients who underwent stereotactic radiosurgery using a diverse acquisition of MR protocols (mainly containing 1.5T
K250525,demographic_fairness,1,0,1,,1,1,"hat model performance generalizes well across demographics and image acquisition conditions. No significant outliers or bias were observed, suggesting adequate representation and algorithmic robustness across populations. In total, these findings confirm that Second Opinion® Panoramic provides clinically meaningful detection perfor"
K250662,technical_ml,1,0,0,,1,1,tional purposes only) for informational purposes care and outputs a visual and quantification of detected only) and quantification of representation of calcium. detected calcium. estimated coronary artery
K250831,demographic_fairness,1,0,1,,0,1,"cohorts which equated to a total dataset of 3,252 cases collected consecutively from four US hospital network sites. The performance testing datasets included representation across subgroups for patient demographics (gender [female: 44.7-59.0%, male: 41.0-55.3], age [mean: 62.2-67.4 years, min: 22, max: 99-105], ethnicity [Hispanic"
K250877,demographic_fairness,1,0,1,,0,1,Traditional 510(k) Submission use with the system. The surgeon can select an implant model from this library. The planner/surgeon can manipulate the 3D representation of the implant in relation to the bone model to place the implant. The surgeon reviews and approves the case plan using either TPLAN or the TCM web-based appli
K251059,technical_ml,1,0,0,,0,1,"20% for validation, and 20% for model selection. Splitting was done at the patient level, ensuring no overlap between subsets. Stratification ensured balanced representation across data sources and patient positions. TimeLens: There is no reader study/bench test that was required for the TimeLens tool as the AI algorithm is very s"
K251096,technical_ml,1,0,0,,1,1,"ce are mandatory. Both devices have the same workflows, use requirements (e.g., internet connection, output validation), and planning features (e.g., model representation, digital overlap of prosthetic material, possible 2D and 3D environments). Both devices generate a final report of the planning, which consists of the selected"
K251153,unclear_manual_review,1,0,0,,0,1,and supports the determination of substantial equivalence. All readers attested that the range of clinical cases reviewed in this evaluation provided adequate representation of the standard clinical practice and that the quality of the kidneys’ segmentation generated by the algorithm was acceptable. Substantial Equivalence Conclusi
K251368,demographic_fairness,1,0,1,,1,1,"gestational age, territory, BMI, scanner manufacturer, heart/brain abnormality. It also comprised races and ethnicities and various clinical sites, ensuring representation across the intended use population. Image digital quality (bad, average, good) and image type (still image from entire examination, cardiac clip frame, full ex"
K251386,unclear_manual_review,1,0,0,,0,1,"nential relaxation times, called T1 and T2. A RF emission or echo that can be measured accompanies these relaxation events. The emissions are used to develop a representation of the relaxation events in a three dimensional matrix. Spatial localization is encoded into the echoes by varying the RF excitation, applying appropriate magn"
K251408,demographic_fairness,1,0,1,,0,1,"cohorts from the US (including the Midwest, Northeast, South, and West). The patient demographics for the Intended Use Population are described in Table 2 with representation across age decades from 50 and above, sex, BMI, and race. Sensitivity and specificity (with 95% confidence intervals) are reported for the full intended use"
K251533,unclear_manual_review,1,0,0,,0,1,"iew - Traditional 510(k) Rapid OH 510(k) Summary performance validation. This performance validation testing demonstrated the Rapid OH device provides accurate representation of key processing parameters under a range of clinically relevant conditions associated with the intended use of the software. Software performance, validation"
K251837,unclear_manual_review,1,0,0,,0,1,"calcium scoring, 107 contrastenhanced series for the testing of centerline extraction, vessel labelling, and wall segmentation. Each validation test included representation of multiple scanner manufacturers (i.e., Canon, GE, Philips, and Siemens) and disease severity based on calcium score and maximum stenosis (CAD-RADS classif"
K252366,demographic_fairness,1,0,1,,1,1,"cohort of 675 cases from 643 unique patients. Development and test cohorts had mutually exclusive patients. The test dataset was constructed to ensure adequate representation for each of the findings and included a wide range of patient demographics and imaging characteristics, as summarized below. Test Cohort Demographics and Imag"
K252452,technical_ml,1,0,0,,1,1,"se of the device Both devices have the same workflows, use requirements (e.g., internet connection, output validation), and planning features (e.g., model representation, digital overlap of prosthetic material, possible 2D and 3D environments). Both devices generate a final report of the planning, which consists of the selected"
K252504,technical_ml,1,0,0,,0,1,"Frequency is not shown in Frequency is not shown in data, only its visual the data tables if the the data tables if representation. rhythm index is low for a amplitude or rhythm index Principal Gastric given time period. is low for"
K252665,technical_ml,1,0,0,,0,1,Shoulder side Surgery date Bone representation 3D and 2D representation of the humerus 3D and 2D representation of the and the scapula humerus and the scap
